,Unnamed: 0,NODE,FIRSTEVENTSUMMARY,CLASS,Action Taken
104,104,,Process diskmonitor is down.,EOTS.BMC (12035),Raise case from Netcool and drop mail to EOTS team
105,105,,Process dnsproxy is down.,EOTS.BMC (12035),Raise case from Netcool and drop mail to EOTS team
106,106,,Process dskernel is down.,EOTS.BMC (12035),Raise case from Netcool and drop mail to EOTS team
107,107,,Process eventEngine is down.,EOTS.BMC (12035),Raise case from Netcool and drop mail to EOTS team
108,108,,Process eyepoller is down.,EOTS.BMC (12035),Raise case from Netcool and drop mail to EOTS team
109,109,,Process flowCollector is down.,EOTS.BMC (12035),Raise case from Netcool and drop mail to EOTS team
110,110,,Process flowserver is down.,EOTS.BMC (12035),Raise case from Netcool and drop mail to EOTS team
111,111,,Process httpd is down.,EOTS.BMC (12035),Raise case from Netcool and drop mail to EOTS team
112,112,,Process licenseserver is down.,EOTS.BMC (12035),Raise case from Netcool and drop mail to EOTS team
113,113,,Process macScheduler is down.,EOTS.BMC (12035),Raise case from Netcool and drop mail to EOTS team
114,114,,Process prologV2 is down.,EOTS.BMC (12035),Raise case from Netcool and drop mail to EOTS team
115,115,,Process provost is down.,EOTS.BMC (12035),Raise case from Netcool and drop mail to EOTS team
116,116,,Process rollLog is down.,EOTS.BMC (12035),Raise case from Netcool and drop mail to EOTS team
117,117,,Process scheduler is down.,EOTS.BMC (12035),Raise case from Netcool and drop mail to EOTS team
118,118,,Process search is down.,EOTS.BMC (12035),Raise case from Netcool and drop mail to EOTS team
119,119,,Process syslogger is down.,EOTS.BMC (12035),Raise case from Netcool and drop mail to EOTS team
120,120,,Process ticker is down.,EOTS.BMC (12035),Raise case from Netcool and drop mail to EOTS team
121,121,,Process tomcat is down.,EOTS.BMC (12035),Raise case from Netcool and drop mail to EOTS team
122,122,,Process viewserver is down.,EOTS.BMC (12035),Raise case from Netcool and drop mail to EOTS team
123,123,,Process virtualization is down.,EOTS.BMC (12035),Raise case from Netcool and drop mail to EOTS team
124,124,,The number of EOTS~database instances is outside the defined operating range,EOTS.BMC (12035),Raise case from Netcool and drop mail to EOTS team
125,125,,The number of EOTS~httpd instances is outside the defined operating range,EOTS.BMC (12035),Raise case from Netcool and drop mail to EOTS team
126,126,,The number of EOTS~licenseserver instances is outside the defined operating range,EOTS.BMC (12035),Raise case from Netcool and drop mail to EOTS team
127,127,,The number of EOTS~rollLog instances is outside the defined operating range,EOTS.BMC (12035),Raise case from Netcool and drop mail to EOTS team
128,128,,The number of EOTS~virtualization instances is outside the defined operating range,EOTS.BMC (12035),Raise case from Netcool and drop mail to EOTS team
129,129,,The server dpexd-dl380g8-07 has rebooted. If unplanned contact support team.,EOTS.BMC (12035),Raise case from Netcool and drop mail to EOTS team
130,130,,Usage of the filesystem /mnt is 94.58% and has exceeded defined ALARM threshold.,EOTS.BMC (12035),Raise case from Netcool and drop mail to EOTS team
131,131,,User patrol is unable to read the log file .../macScheduler.log. Pass to Application support: EOTS,EOTS.BMC (12035),Raise case from Netcool and drop mail to EOTS team
132,132,,User patrol is unable to read the log file .../mysqld.error.log. Pass to Application support: EOTS,EOTS.BMC (12035),Raise case from Netcool and drop mail to EOTS team
133,133,,User patrol is unable to read the log file ...JNIGenericRPC.log. Pass to Application support: EOTS,EOTS.BMC (12035),Raise case from Netcool and drop mail to EOTS team
134,134,,User patrol is unable to read the log file ...cationMonitor.log. Pass to Application support: EOTS,EOTS.BMC (12035),Raise case from Netcool and drop mail to EOTS team
135,135,,User patrol is unable to read the log file ...g/eventEngine.log. Pass to Application support: EOTS,EOTS.BMC (12035),Raise case from Netcool and drop mail to EOTS team
136,136,,User patrol is unable to read the log file ...g/tomcatWebUI.log. Pass to Application support: EOTS,EOTS.BMC (12035),Raise case from Netcool and drop mail to EOTS team
137,137,,User patrol is unable to read the log file ...irtualization.log. Pass to Application support: EOTS,EOTS.BMC (12035),Raise case from Netcool and drop mail to EOTS team
138,138,,User patrol is unable to read the log file ...log/EventsJni.log. Pass to Application support: EOTS,EOTS.BMC (12035),Raise case from Netcool and drop mail to EOTS team
139,139,,User patrol is unable to read the log file ...log/eyepoller.log. Pass to Application support: EOTS,EOTS.BMC (12035),Raise case from Netcool and drop mail to EOTS team
140,140,,User patrol is unable to read the log file ...log/syslogger.log. Pass to Application support: EOTS,EOTS.BMC (12035),Raise case from Netcool and drop mail to EOTS team
141,141,,User patrol is unable to read the log file ...log/tomcatAll.log. Pass to Application support: EOTS,EOTS.BMC (12035),Raise case from Netcool and drop mail to EOTS team
142,142,,User patrol is unable to read the log file ...og/viewserver.log. Pass to Application support: EOTS,EOTS.BMC (12035),Raise case from Netcool and drop mail to EOTS team
143,143,,User patrol is unable to read the log file ...sKernelStatic.log. Pass to Application support: EOTS,EOTS.BMC (12035),Raise case from Netcool and drop mail to EOTS team
144,144,,User patrol is unable to read the log file ...systemcontrol.log. Pass to Application support: EOTS,EOTS.BMC (12035),Raise case from Netcool and drop mail to EOTS team
145,145,,rebooted,ServiceWatcher (7521),Raise case from Netcool and drop mail to EOTS team
146,146,dpgs2-dl380g8-05,Cleared - Process licenseserver is now running again.,EOTS.BMC (12035),Raise case from Netcool and drop mail to EOTS team
147,147,,Entuity Server Explicit Shutdown Initiated,EOTS (20000),Raise case from Netcool and drop mail to EOTS team
148,148,,License warning: 33 credits left for Devices,EOTS (20000),Raise case from Netcool and drop mail to EOTS team
149,149,,License warning: 34 credits left for Devices,EOTS (20000),Raise case from Netcool and drop mail to EOTS team
150,150,,License warning: 36 credits left for Devices,EOTS (20000),Raise case from Netcool and drop mail to EOTS team
151,151,,Process EOTS~database is CPU bound. System response time may be degraded.,EOTS.BMC (12035),Raise case from Netcool and drop mail to EOTS team
152,152,,Process EOTS~database is using excessive CPU(90%). Process may be looping.,EOTS.BMC (12035),Raise case from Netcool and drop mail to EOTS team
153,153,,Process EOTS~database is using excessive CPU(90.20%). Process may be looping.,EOTS.BMC (12035),Raise case from Netcool and drop mail to EOTS team
154,154,,Process EOTS~database is using excessive CPU(97.80%). Process may be looping.,EOTS.BMC (12035),Raise case from Netcool and drop mail to EOTS team
155,155,,Process EOTS~database is using excessive CPU(98.30%). Process may be looping.,EOTS.BMC (12035),Raise case from Netcool and drop mail to EOTS team
156,156,,Process EOTS~database is using excessive CPU(99.60%). Process may be looping.,EOTS.BMC (12035),Raise case from Netcool and drop mail to EOTS team
157,157,,Process EOTS~database is using excessive CPU(99.80%). Process may be looping.,EOTS.BMC (12035),Raise case from Netcool and drop mail to EOTS team
158,158,,Process EOTS~database is using excessive CPU(99.90%). Process may be looping.,EOTS.BMC (12035),Raise case from Netcool and drop mail to EOTS team
159,159,,Process EOTS~dskernel is CPU bound. System response time may be degraded.,EOTS.BMC (12035),Raise case from Netcool and drop mail to EOTS team
160,160,,Process EOTS~eventEngine is CPU bound. System response time may be degraded.,EOTS.BMC (12035),Raise case from Netcool and drop mail to EOTS team
161,161,,Process EOTS~eventEngine is using excessive CPU(100%). Process may be looping.,EOTS.BMC (12035),Raise case from Netcool and drop mail to EOTS team
162,162,,Process EOTS~eventEngine is using excessive CPU(96%). Process may be looping.,EOTS.BMC (12035),Raise case from Netcool and drop mail to EOTS team
163,163,,Process EOTS~eventEngine is using excessive CPU(99.40%). Process may be looping.,EOTS.BMC (12035),Raise case from Netcool and drop mail to EOTS team
164,164,,Process EOTS~httpd is CPU bound. System response time may be degraded.,EOTS.BMC (12035),Raise case from Netcool and drop mail to EOTS team
165,165,,Process EOTS~httpd is using excessive CPU(90.40%). Process may be looping.,EOTS.BMC (12035),Raise case from Netcool and drop mail to EOTS team
166,166,,Process EOTS~httpd is using excessive CPU(92%). Process may be looping.,EOTS.BMC (12035),Raise case from Netcool and drop mail to EOTS team
167,167,,Process EOTS~httpd is using excessive CPU(97.80%). Process may be looping.,EOTS.BMC (12035),Raise case from Netcool and drop mail to EOTS team
168,168,,Process EOTS~httpd is using excessive CPU(99.10%). Process may be looping.,EOTS.BMC (12035),Raise case from Netcool and drop mail to EOTS team
169,169,,Process EOTS~httpd is using excessive CPU(99.60%). Process may be looping.,EOTS.BMC (12035),Raise case from Netcool and drop mail to EOTS team
170,170,,Process EOTS~httpd is using excessive CPU(99.70%). Process may be looping.,EOTS.BMC (12035),Raise case from Netcool and drop mail to EOTS team
171,171,,Process Entuityjavaserver is down.,EOTS.BMC (12035),Raise case from Netcool and drop mail to EOTS team
172,172,,Process applicationmonitor is down.,EOTS.BMC (12035),Raise case from Netcool and drop mail to EOTS team
173,173,,Process database is down.,EOTS.BMC (12035),Raise case from Netcool and drop mail to EOTS team
174,174,,Process diskmonitor is down.,EOTS.BMC (12035),Raise case from Netcool and drop mail to EOTS team
175,175,,Process dnsproxy is down.,EOTS.BMC (12035),Raise case from Netcool and drop mail to EOTS team
176,176,,Process dskernel is down.,EOTS.BMC (12035),Raise case from Netcool and drop mail to EOTS team
177,177,,Process eventEngine is down.,EOTS.BMC (12035),Raise case from Netcool and drop mail to EOTS team
178,178,,Process eyepoller is down.,EOTS.BMC (12035),Raise case from Netcool and drop mail to EOTS team
179,179,,Process flowCollector is down.,EOTS.BMC (12035),Raise case from Netcool and drop mail to EOTS team
180,180,,Process flowserver is down.,EOTS.BMC (12035),Raise case from Netcool and drop mail to EOTS team
181,181,,Process httpd is down.,EOTS.BMC (12035),Raise case from Netcool and drop mail to EOTS team
182,182,,Process licenseserver is down.,EOTS.BMC (12035),Raise case from Netcool and drop mail to EOTS team
183,183,,Process macScheduler is down.,EOTS.BMC (12035),Raise case from Netcool and drop mail to EOTS team
184,184,,Process prologV2 is down.,EOTS.BMC (12035),Raise case from Netcool and drop mail to EOTS team
185,185,,Process provost is down.,EOTS.BMC (12035),Raise case from Netcool and drop mail to EOTS team
186,186,,Process rollLog is down.,EOTS.BMC (12035),Raise case from Netcool and drop mail to EOTS team
187,187,,Process scheduler is down.,EOTS.BMC (12035),Raise case from Netcool and drop mail to EOTS team
188,188,,Process search is down.,EOTS.BMC (12035),Raise case from Netcool and drop mail to EOTS team
189,189,,Process syslogger is down.,EOTS.BMC (12035),Raise case from Netcool and drop mail to EOTS team
190,190,,Process ticker is down.,EOTS.BMC (12035),Raise case from Netcool and drop mail to EOTS team
191,191,,Process tomcat is down.,EOTS.BMC (12035),Raise case from Netcool and drop mail to EOTS team
192,192,,Process viewserver is down.,EOTS.BMC (12035),Raise case from Netcool and drop mail to EOTS team
193,193,,Process virtualization is down.,EOTS.BMC (12035),Raise case from Netcool and drop mail to EOTS team
194,194,,The number of EOTS~database instances is outside the defined operating range,EOTS.BMC (12035),Raise case from Netcool and drop mail to EOTS team
195,195,,The number of EOTS~httpd instances is outside the defined operating range,EOTS.BMC (12035),Raise case from Netcool and drop mail to EOTS team
196,196,,The number of EOTS~licenseserver instances is outside the defined operating range,EOTS.BMC (12035),Raise case from Netcool and drop mail to EOTS team
197,197,,The number of EOTS~rollLog instances is outside the defined operating range,EOTS.BMC (12035),Raise case from Netcool and drop mail to EOTS team
198,198,,The server dpgs2-dl380g8-05 has rebooted. If unplanned contact support team.,EOTS.BMC (12035),Raise case from Netcool and drop mail to EOTS team
199,199,,Usage of the filesystem /mnt is 95.41% and has exceeded defined ALARM threshold.,EOTS.BMC (12035),Raise case from Netcool and drop mail to EOTS team
200,200,,User patrol is unable to read the log file .../macScheduler.log. Pass to Application support: EOTS,EOTS.BMC (12035),Raise case from Netcool and drop mail to EOTS team
201,201,,User patrol is unable to read the log file .../mysqld.error.log. Pass to Application support: EOTS,EOTS.BMC (12035),Raise case from Netcool and drop mail to EOTS team
202,202,,User patrol is unable to read the log file ...JNIGenericRPC.log. Pass to Application support: EOTS,EOTS.BMC (12035),Raise case from Netcool and drop mail to EOTS team
203,203,,User patrol is unable to read the log file ...cationMonitor.log. Pass to Application support: EOTS,EOTS.BMC (12035),Raise case from Netcool and drop mail to EOTS team
204,204,,User patrol is unable to read the log file ...g/eventEngine.log. Pass to Application support: EOTS,EOTS.BMC (12035),Raise case from Netcool and drop mail to EOTS team
205,205,,User patrol is unable to read the log file ...g/tomcatWebUI.log. Pass to Application support: EOTS,EOTS.BMC (12035),Raise case from Netcool and drop mail to EOTS team
206,206,,User patrol is unable to read the log file ...irtualization.log. Pass to Application support: EOTS,EOTS.BMC (12035),Raise case from Netcool and drop mail to EOTS team
207,207,,User patrol is unable to read the log file ...log/EventsJni.log. Pass to Application support: EOTS,EOTS.BMC (12035),Raise case from Netcool and drop mail to EOTS team
208,208,,User patrol is unable to read the log file ...log/eyepoller.log. Pass to Application support: EOTS,EOTS.BMC (12035),Raise case from Netcool and drop mail to EOTS team
209,209,,User patrol is unable to read the log file ...log/syslogger.log. Pass to Application support: EOTS,EOTS.BMC (12035),Raise case from Netcool and drop mail to EOTS team
210,210,,User patrol is unable to read the log file ...log/tomcatAll.log. Pass to Application support: EOTS,EOTS.BMC (12035),Raise case from Netcool and drop mail to EOTS team
211,211,,User patrol is unable to read the log file ...og/viewserver.log. Pass to Application support: EOTS,EOTS.BMC (12035),Raise case from Netcool and drop mail to EOTS team
212,212,,User patrol is unable to read the log file ...sKernelStatic.log. Pass to Application support: EOTS,EOTS.BMC (12035),Raise case from Netcool and drop mail to EOTS team
213,213,,User patrol is unable to read the log file ...systemcontrol.log. Pass to Application support: EOTS,EOTS.BMC (12035),Raise case from Netcool and drop mail to EOTS team
214,214,,rebooted,ServiceWatcher (7521),Raise case from Netcool and drop mail to EOTS team
215,215,rimmer-ipmp.london.02.net,"Greater than expected number of processes are running. Check for zombie processes, and failing applications.",BMC (7503),Raise case and drop mail to server team
216,216,varnish12,disk usage for inodes at 96% for partition /var,ServiceWatcher (7521),Raise case and drop mail to server team
217,217,bielefeld,OSS - Application recovery failed. Review recovery script. - Instance=Mon-RecoveryPN0 - Log = /opt/BMC/PATROL/RECOVERY/logs/recovery.log,E-Commerce.BMC (10005),Raise P4 case and drop mail to BMC Patrol team
218,218,bnsdc-x3550-01,OSS - Application recovery failed. Review recovery script. - Instance=Mon-RecoveryPN0 - Log = /opt/BMC/PATROL/RECOVERY/logs/recovery.log,NETBACKUP.BMC (12093),Raise P4 case and drop mail to BMC Patrol team
